iter	Passed	Remaining
318	636	1359
319	638	1356
320	639	1352
321	640	1348
322	641	1345
323	643	1342
324	644	1338
325	645	1334
326	649	1335
327	651	1334
328	652	1330
329	653	1326
330	654	1323
331	655	1319
332	657	1316
333	658	1312
334	658	1308
335	659	1304
336	660	1300
337	664	1302
338	667	1300
339	668	1297
340	669	1293
341	670	1290
342	671	1286
343	672	1282
344	674	1280
345	678	1281
346	681	1282
347	683	1279
348	684	1276
349	685	1272
350	686	1268
351	688	1266
352	693	1270
353	695	1269
354	696	1265
355	697	1262
356	699	1258
357	700	1255
358	701	1251
359	702	1249
360	704	1246
361	707	1246
362	708	1243
363	709	1240
364	711	1237
365	712	1233
366	713	1230
367	714	1226
368	715	1223
369	719	1224
370	721	1223
371	722	1220
372	724	1217
373	725	1214
374	727	1211
375	728	1209
376	729	1205
377	731	1203
378	734	1203
379	735	1199
380	736	1196
381	737	1193
382	738	1190
383	740	1187
384	741	1185
385	742	1181
386	743	1178
387	744	1174
388	747	1174
389	749	1171
390	750	1168
391	751	1165
392	752	1161
393	753	1158
394	754	1155
395	755	1151
396	756	1148
397	757	1145
398	758	1142
399	759	1139
400	761	1137
401	763	1135
402	764	1131
403	765	1128
404	766	1125
405	767	1122
406	768	1119
407	769	1116
408	770	1113
409	771	1110
410	772	1107
411	773	1103
412	774	1100
413	776	1099
414	777	1096
415	778	1093
416	779	1090
417	780	1087
418	781	1084
419	782	1081
420	783	1077
421	784	1075
422	786	1072
423	787	1069
424	788	1066
425	789	1063
426	791	1061
427	792	1058
428	793	1055
429	794	1053
430	795	1050
431	796	1047
432	797	1044
433	798	1041
434	799	1038
435	800	1035
436	801	1032
437	802	1029
438	803	1026
439	805	1025
440	807	1022
441	807	1020
442	809	1017
443	810	1014
444	812	1013
445	813	1010
446	814	1007
447	815	1004
448	816	1002
449	817	999
450	818	996
451	821	995
452	822	992
453	823	990
454	824	987
455	825	984
